numdevo|cliente|nomcli|emision|estatus|numfac|tot_devo|codven|almacen
DV000368|00000082|REPUESTOS ITALY CAR'S CAGUA,C.A.|20240610|OK|NC000750|35.4200|02|01
DV000369|00000046|SURTIDORA DE RESPUESTOS KOREANOS,C.A.|20240610|OK|NC000751|13.9900|02|01
DV000370|00000193|EUROASIATICOS, C.A|20240611|OK|NC000752|17.4700|30|01
DV000371|00000421|REPUESTOS PANA MIO, C.A. (REPUESTOS PANA MIO, C.A.)|20240611|OK||60.8700|21|01
DV000372|00000730|INVERSIONES MODELO C.A.|20240614|OK|NC000755|77.3900|25|01
DV000373|00000734|AUTOREPUESTOS EL FAMA, C.A.|20240614|OK|NC000756|45.7300|25|01
DV000374|00000400|AUTOREPUESTOS ENRIQUETA, C.A. (AUTOREPUESTOS ENRIQUETA, C.A.)|20240614|OK|NC000757|10.8200|02|01
DV000375|00000633|REPUESTO EL FAMA, C.A.|20240614|OK|NC000754|70.5100|25|01
DV000376|00000448|INVERSIONES 297, C.A. (INVERSIONES 297, C.A.)|20240618|OK|NC000758|61.8000|21|01
DV000377|00000244|REPUESTOS SAFIURI C.A|20240701|OK|NC000760|20.1000|19|01
DV000378|00000244|REPUESTOS SAFIURI C.A|20240701|OK|NC000761|62.4200|19|01
DV000379|00000219|INVERSIONES SUPER JUNIN 1212, C.A|20240701|OK|NC000762|37.0000|06|05
DV000380|00000244|REPUESTOS SAFIURI C.A|20240701|OK|NC000763|49.5000|19|01
DV000381|00000331|ASIATICOS PENINSULA, C.A|20240701|OK|NC000764|18.0300|04|01
DV000382|00000341|AUTO REPUESTOS MIMO MOTORS, C.A|20240702|OK|NC000765|60.4500|05|01
DV000383|00000631|DORAUTO IMPORTS, C.A|20240702|OK|NC000766|185.4000|02|01
DV000384|00000095|AUTO REPUESTOS PICHA, C.A.|20240702|OK|NC000767|87.9700|34|01
DV000385|00000413|AUTOPART'S UNION,C.A|20240703|OK|NC000768|504.7000|02|01
DV000386|00000268|AUTOPARTES DE LISLE, C.A|20240703|OK|NC000769|97.8500|04|01
DV000387|00000393|CARS PARTS SUR, C.A|20240710|OK|NC000770|46.7400|04|01
DV000388|00000766|REPUESTOS EURO KOREA, C.A.|20240710|OK|NC000771|113.8900|02|01
DV000389|00000666|AUTOREPUESTOS MIA CAR'S C.A (AUTOREPUESTOS MIA CAR'S C.A)|20240710|OK|NC000772|15.4500|02|01
DV000390|00000081|DISTRIBUIDORA R Y M C.A|20240717|OK||4.0000|30|01
DV000391|00000503|FELIPE ALEJANDRO MATHEUS MOLINA(TUTTO AUTOPARTS, F.P)|20240717|OK||75.0100|01|01
