numdevo|cliente|nomcli|emision|estatus|numfac|tot_devo|codven|almacen
DV000120|00000357|HK MOTOR'S, C.A|20231023|OK|NC000501|9.9000|02|01
DV000121|00000362|INVERSIONES VENEKIA, C.A|20231023|OK|NC000503|51.9800|01|01
DV000122|00000362|INVERSIONES VENEKIA, C.A|20231023|OK|NC000504|116.5800|01|01
DV000123|00000631|DORAUTO IMPORTS, C.A|20231024|OK|NC000505|10.5400|02|01
DV000124|00000712|FB IMPORTS, C.A|20231025|OK|NC000506|91.5900|01|01
DV000125|00000132|REPUESTOS KOREA PARTS, C.A|20231026|OK|NC000507|22.0800|02|01
DV000126|00000418|GM INVERSIONES 2019 C.A|20231026|OK|NC000509|214.0700|02|01
DV000127|00000554|YANSA COREA, C.A (YANSA COREA, C.A)|20231026|OK|NC000508|61.6400|02|01
DV000128|00000631|DORAUTO IMPORTS, C.A|20231031|OK|NC000512|29.8800|02|01
DV000129|00000330|DAVAL, C.A|20231031|OK|NC000510|14.6800|02|01
DV000130|00000357|HK MOTOR'S, C.A|20231031|OK|NC000511|42.6200|02|01
DV000131|00000561|AUTOPARTE MICHELENA 2021, C.A. (AUTOPARTE MICHELENA 2021, C.A.)|20231031|OK|NC000516|126.1400|19|01
DV000132|00000631|DORAUTO IMPORTS, C.A|20231031|OK|NC000513|46.3800|02|01
DV000133|00000378|REPUESTOS SUPER VICTORIA, C.A|20231031|OK|NC000520|26.5900|01|01
DV000134|00000378|REPUESTOS SUPER VICTORIA, C.A|20231031|OK|NC000521|6.1800|01|01
DV000135|00000378|REPUESTOS SUPER VICTORIA, C.A|20231031|OK|NC000521|91.0700|01|01
DV000136|00000430|REPUESTOS DONDEIVAN, C.A (REPUESTOS DONDE IVAN, C.A)|20231031|OK|NC000514|113.9200|21|01
DV000137|00000331|ASIATICOS PENINSULA, C.A|20231031|OK|NC000515|45.4800|04|01
