numreq|numtra|emision|provee|nomprv|estatus|almacen|tot_req|moneda|cambio|gastos|factor|fecha_rece
4494||20220712|00000048||PE||6341.0400|US$|0.0000|0.0000|1.8300|
22002SN||20220626|00000096||PE||51087.6700|US$|0.0000|34.0000|1.8500|
22002SN2||20220901|00000096||PE||35193.2500|US$|0.0000|34.0000|1.8500|
00012610||20220901|00000099||PE||720.0000|US$|0.0000|0.0000|2.0000|
2202SN3||20220912|00000096||PE||19025.1700|US$|0.0000|33.0000|1.9000|
02220721||20220920|00000063||PE||89928.4000|US$|0.0000|33.0000|2.2500|
00004184||20220921|00000018||PE||7072.0000|US$|0.0000|0.0000|1.5800|
00004301||20221010|00000018||PE||1969.5000|US$|0.0000|0.0000|1.5400|
00004525||20221114|00000018||PE||6300.0000|US$|0.0000|0.0000|1.4300|
22C001||20221204|00000096||PE||22574.4500|US$|0.0000|30.0000|1.9000|
22C002||20221204|00000096||PE||8919.0400|US$|0.0000|30.0000|1.9000|
22C003||20221204|00000096||PE||77017.0200|US$|0.0000|30.0000|1.9000|
22C004||20221204|00000096||PE||18439.5100|US$|0.0000|30.0000|1.9000|
22C005||20221204|00000096||PE||23419.8100|US$|0.0000|30.0000|1.9000|
22C006||20221204|00000096||PE||3208.9400|US$|0.0000|30.0000|1.9000|
S05941||20230101|00000048||PE|01|1733.8000|US$|0.0000|0.0000|1.4300|
00004581||20230101|00000018||PE|01|318.5000|US$|0.0000|0.0000|1.4300|
221227||20230310|00000063||PE|01|162056.0500|US$|0.0000|20.0000|2.5000|
02211124||20230410|00000063||PE|01|3950.0000|US$|0.0000|26.0000|2.3800|
S08383||20230328|00000048||PE|01|2346.9400|US$|0.0000|0.0000|2.0000|
23001SN||20230412|00000096||PE|01|122475.1100|US$|0.0000|14.0000|1.7800|
4599||20230414|00000082||PE|01|4322.0000|US$|0.0000|0.0000|1.5000|
SS230417||20230417|00000063||PE|01|16855.5000|US$|0.0000|17.0000|2.5600|
S09568||20230516|00000048||PE|01|1767.5000|US$|0.0000|0.0000|1.6600|
00005309||20230607|00000018||PE|01|2379.0000|US$|0.0000|0.0000|1.4300|
D0005395||20230629|00000082||PE|01|10665.9000|US$|0.0000|0.0000|1.6600|
00000758||20230703|00000104||PE|01|1141.1700|US$|0.0000|0.0000|1.7000|
SS111202|SS230613|20230607|00000063||PE|01|90483.5500|US$|0.0000|21.5000|2.4000|
00000225|SS002613|20230803|00000063||PE|01|1634.5000|US$|0.0000|15.0000|2.5000|
00000228|SS260613|20230803|00000063||PE|01|415.0000|US$|0.0000|15.0000|2.7000|
00000230|SS11302|20230809|00000048||PE|01|3025.5000|US$|0.0000|0.0000|1.8300|
00000232|00000363|20230821|00000018||PE|01|31332.0000|US$|0.0000|0.0000|1.6000|
00000260|23C001|20231016|00000096||PE|01|12519.8500|US$|0.0000|15.0000|2.1800|
00000261|23C002|20231016|00000096||PE|01|6243.3000|US$|0.0000|15.0000|2.1800|
00000262|22C007|20231016|00000096||PE|01|86110.7900|US$|0.0000|15.0000|2.1800|
00000263|22C009|20231016|00000096||PE|01|18795.2300|US$|0.0000|15.0000|2.1800|
00000264|23C001-1|20231016|00000096||PE|01|18487.5400|US$|0.0000|15.0000|2.1800|
00000265|23C002-2|20231016|00000096||PE|01|14493.6200|US$|0.0000|15.0000|2.1800|
390||20230214|00000104||PE|01|260.4000|US$|0.0000|0.0000|2.0000|
00000278|00001116|20231120|00000104||PE|01|269.6000|US$|0.0000|0.0000|1.6600|
00000279|D0006877|20231120|00000082||PE|01|5402.5000|US$|0.0000|0.0000|0.0000|
00000280|DHM23003|20231124|00000096||PE|01|4916.1000|US$|0.0000|18.0000|2.1200|
00000281|11230829|20231215|00000063||PE|01|102931.4000|US$|0.0000|13.0000|3.0000|
