numdevo|item|descrip|cantidad|factura|importe|precio
DV000023|25281-37120-SE|TENSOR CORREA UNICA SPORTAGE 2.7 SE|1.0000||0.0000|17.5000
DV000024|25100-22032-SEO|BOMBA AGUA TUCSON SEONG|1.0000||0.0000|22.5500
DV000025|0K50F-18840|SENSOR TEMPERATURA KIA RIO|1.0000||0.0000|6.1800
DV000025|0K2A1-17400|SENSOR DE DISTANCIA KIA RIO 1.5|1.0000||0.0000|13.8300
DV000026|27501-37A00|JGO. CABLE BUJIA SPORTAGE 2.7|1.0000||0.0000|27.9700
DV000026|94460-2E200-SEO|FLOTANTE TUCSON SECUNDARIO|1.0000||0.0000|9.4300
DV000027|0K72A-43400-K|BOMBA FRENO KIA PREGIO 3.0|1.0000||0.0000|71.0900
DV000028|0K60E-41920-SEO|BOMBIN CLUTCH INF. PREGIO 3.0 SEONG|1.0000||0.0000|9.0300
DV000029|KITGTZ020|KIT PISTON Y ANILLO GETZ 1.6 0.20|1.0000||0.0000|59.0500
DV000029|24410-23770-DHM|TENSOR CADENA TUCSON|1.0000||0.0000|19.0000
DV000030|25100-4Z000-SE|BOMBA AGUA KIA PREGIO 3.0 SEONG|2.0000||0.0000|25.0000
DV000031|25100-2X200-SEO|BOMBA AGUA KIA RIO STYLUS SEONG|1.0000||0.0000|31.0800
DV000032|KITGTZ020|KIT PISTON Y ANILLO GETZ 1.6 0.20|2.0000||0.0000|59.0500
DV000033|54830-2D000-K|BIELETA DELANTERA ELANTRA XD|1.0000||0.0000|7.8500
DV000034|41610-1C000-SEO|BOMBA CLUTCH SUP. HYUNDAI GETZ SEON|1.0000||0.0000|20.6000
DV000035|25380-1C360-A|ELECTROVENTILADOR GETZ 1.6|1.0000||0.0000|75.0100
DV000036|25100-4Z000-SE|BOMBA AGUA KIA PREGIO 3.0 SEONG|1.0000||0.0000|25.0000
DV000036|23060-22960-025|JGO. CONCHA BIELA ACC/GETZ 0.10 (0.|1.0000||0.0000|6.4000
DV000037|35301-22032-OEM|REGULADOR GASOLINA ACCENT SEONG|1.0000||0.0000|8.9900
DV000038|23060-23911|JGO. CONCHA BIELA TUCSON 0.10|1.0000||0.0000|6.2600
DV000039|21310-38062|BOMBA ACEITE HYUNDAI H1 2007|1.0000||0.0000|126.7400
DV000040|21310-26650-DHM|BOMBA ACEITE GETZ 1.6 SEONG|1.0000||0.0000|45.8900
DV000041|25380-1C160|ELECTROVENTILADOR GETZ 1.6|1.0000||0.0000|80.4400
DV000041|25380-2E250|ELECTROVENTILADOR TUCSON|1.0000||0.0000|83.3500
DV000042|25100-2X200-SEO|BOMBA AGUA KIA RIO STYLUS SEONG|1.0000||0.0000|29.5300
DV000043|25100-2X200-SEO|BOMBA AGUA KIA RIO STYLUS SEONG|1.0000||0.0000|31.0800
DV000044|24255-23800-SE|VALVULA OCV TUCSON|2.0000||0.0000|24.0000
DV000044|24255-23800-SE|VALVULA OCV TUCSON|2.0000||0.0000|24.0000
DV000045|24350-23800-K|ENGRANAJE CVVT TUCSON|1.0000||0.0000|95.8600
DV000046|24321-3E000-SE|CADENA LEVA HYUNDAI SANTA FE 2.7|2.0000||0.0000|24.8300
DV000047|KITGTZ020|KIT PISTON Y ANILLO GETZ 1.6 0.20|2.0000||0.0000|59.0500
DV000047|94460-1C000-SEO|FLOTANTE HYUNDAI GETZ|2.0000||0.0000|9.8600
DV000048|41700-4A101|BOMBIN CLUTCH INF HYUNDAI H1 2009 K|1.0000||0.0000|25.4300
DV000049|23110-23780-SE|CIGUENAL TUCSON SEONG|1.0000||0.0000|122.4700
DV000050|0K77P-15200B-SE|RADIADOR KIA PREGIO 3.0 SEONG|1.0000||0.0000|119.9200
DV000051|23060-2G120|JGO. CONCHA BIELA STD H1 09 CADENA/|2.0000||0.0000|12.5800
DV000052|25620-23501|CARCAZA TERMOST. TUCSON INF. LARGA|2.0000||0.0000|21.6100
