codart|nomart|grupo|marca|precio_a|precio_b|precio_d|codfam|stk01|stk06|alterno
25100-23010-PMC|BOMBA AGUA HYUNDAI TUCSON PMC|TUCSO|00182|39.6600|34.4900|9.1900|KOREA|||
58510-07000|BOMBA FRENO KIA PICANTO MOBIS|PICAN|00004|331.3300|288.1100|72.3900|KOREA|||
31110-07150-PMC|BOMBA GASOLINA KIA PICANTO PMC|PICAN|00002|237.8100|206.7900|51.9600|KOREA|||
31110-2E000-PMC|BOMBA GASOLINA HYUNDAI TUCSON PMC|TUCSO|00002|126.8200|110.2800|53.7400|KOREA|||
54551-2D000-PMC|BUJE LAZITO MESETA INF. DEL. HYUNDAI ELANTRA|ELGTZ|00163|7.8200|6.5000|1.6000|KOREA|||
54551-1D000-PMC|BUJE PEQ. MESETA INF. DEL. HYUNDAI TUCSON 2G000|TUCSO|00163|4.1500|3.9000|1.0700|KOREA|||
27501-37A00-PMC|JGO. CABLE BUJIA SPORTAGE 2.7|SPTFE|00163|42.3200|36.8000|9.0400|KOREA|||
27501-23B70-PMC|JGO. CABLE BUJIA TUCSON PMC|TUCSO|00163|21.0900|18.3400|4.6100|KOREA|||
57700-FD201|CAJETIN HIDRAULICO KIA RIO STYLUS KOREA|RIO|00138|434.7500|378.0400|95.2700|KOREA|||
24312-37500-BA|CORREA TIEMPO KIA SPORTAGE 2.7 207DTS / 24312-37400|SPTFE|00088|49.8600|43.3600|11.7200|KOREA|||
24312-26050-BA|CORREA TIEMPO GETZ 1.6 BANDO|ELGTZ|00139|23.3500|20.3000|5.5600|KOREA|||
24312-02270-BA|CORREA TIEMPO KIA PICANTO BANDO (101B-YU20)|PICAN|00139|21.3100|18.5300|5.2700|KOREA|||
24312-2X000-BA|CORREA TIEMPO KIA RIO BANDO (220 S8M 1096)|RIO|00139|21.8500|19.0000|5.6900|KOREA|||
224312-23400-BA|CORREA TIEMPO HYUNDAI TUCSON 113 BRU 25.4|TUCSO|00139|28.5100|24.7900|6.8100|KOREA|||
41610-22050|BOMBA CLUTCH SUP. HYUNDAI ACCENT TANQUE ADELT CONE S|ACCEN|00114|28.7500|25.0000|8.7300|KOREA|||
0S08941990-PMC|BOMBA CLUTCH SUP. KIA PREGIO 3.0 PMC|PREGI|00137|27.6500|24.0400|6.7300|KOREA|||
0K60E41920-PMC|BOMBIN CLUTCH INF. KIA PREGIO 3.0 PMC 509341920|PREGI|00137|15.5300|13.5000|3.4500|KOREA|||
23111-26100|CIGUENAL HYUNDAI GETZ 1.6 (261001)|ELGTZ|00140|188.6000|164.0000|48.3900|KOREA|||
23110-23780|CIGUENAL TUCSON|TUCSO|00007|323.7100|281.4900|94.3800|KOREA|||
52710-2E100|MOZO TRASERO HYUNDAI TUCSON 4 X 2|TUCSO|00238|60.5200|52.6300|14.4300|KOREA|||
52710-2D100-PMC|MOZO TRASERO HYUNDAI ELANTRA XD|ELGTZ|00114|62.1300|54.0300|15.0100|KOREA|||
24350-23800-K|ENGRANAJE CVVT TUCSON|TUCSO|00159|101.6700|88.4100|26.7900|KOREA|||
97730-FD100-PMC|ELECTROVENTILADOR AUX. KIA RIO PMC|RIO|00002|68.2800|59.3700|17.4700|KOREA|||
25380-FD000-PMC|ELECTROVENTILADOR PRINC. RIO PMC|RIO|00002|68.2800|59.3700|17.3900|KOREA|||
22311-02760-PMC|EMPACADURA CAMARA PICANTO PMC|PICAN|00028|6.1900|5.0000|1.3400|KOREA|||
22441-2B000|EMPACADURA TAPA VALVULA KIA CERATO 1.6|OTROS|00002|5.3000|4.6100|2.2600|KOREA|||
22441-26003|EMPACADURA TAPA VALVULA HYUNDAI GETZ 1.6|ELGTZ|00002|4.5500|3.9600|1.1200|KOREA|||
22441-2X001-PMC|EMPACADURA TAPA VALVULA KIA RIO STYLUS|RIO|00002|5.6400|4.9000|1.0500|KOREA|||
22441-23800-PMC|EMPACADURA TAPA VALVULA HYUNDAI TUCSON PMC|TUCSO|00002|4.3700|3.8000|1.1500|KOREA|||
41510-07120-PMC|GUAYA CLUTCH KIA PICANTO PMC/INFAC|PICAN|00179|18.5800|16.1600|4.8400|KOREA|||
24441-27000-PMC|EMPACADURA TAPA VALVULA SANTA FE 2.7|OTROS|00002|5.7300|4.9800|0.7300|KOREA|||
0K30A-41150-PMC|GUAYA CLUTCH RIO 1.5|RIO|00262|10.9300|9.5000|2.2800|KOREA|||
43794-22010|GUAYA SELECTORA ACCENT|ACCEN|00077|30.8400|26.8200|9.4700|KOREA|||
21020-22960-PMC|JGO. CONCHA BANCADA HYUNDAI ACC/GETZ 0.10 (0.25)|ELGTZ|00137|22.1800|19.2900|5.3600|KOREA|||
21020-02540-PMC|JGO. CONCHA BANCADA PICANTO STD|PICAN|00121|14.0800|12.2400|3.0700|KOREA|||
0K6Z211SHG0-PMC|JGO. CONCHA BANCADA PREGIO 0.10 (0,25)|PREGI|00037|23.6900|20.6000|5.5000|KOREA|||
0K6Z211SHX-PMC|JGO. CONCHA BANCADA PREGIO 0.20 (0,50)|PREGI|00002|24.1500|21.0000|5.5000|KOREA|||
0K6Z211SG0|JGO. CONCHA BANCADA PREGIO STD (210204X900)|PREGI|00121|25.5100|20.0000|5.1200|KOREA|||
0K3Y011SF0-PMC|JGO. CONCHA BIELA RIO 0.10 (0,25)|RIO|00137|9.3000|8.0900|2.1700|KOREA|||
2306002591-PMC|JGO. CONCHA BIELA PICANTO 0.10 (0,25)|PICAN|00072|16.5300|14.3700|3.9200|KOREA|||
23060-02500-PMC|JGO. CONCHA BIELA PICANTO STD|PICAN|00121|9.8200|8.5400|1.9300|KOREA|||
0VNY111SF0-PMC|JGO. CONCHA BIELA PREGIO 0.10 (0,25)|PREGI|00037|15.8100|13.7500|3.8000|KOREA|||
0VNY111SFX-PMC|JGO. CONCHA BIELA PREGIO 0.20 (0,50)|PREGI|00037|16.6800|14.5000|3.5600|KOREA|||
23060-23901-PMC|JGO. CONCHA BIELA HYUNDAI TUCSON 0.10 (0.25) PMC|TUCSO|00137|10.9300|9.5000|2.0900|KOREA|||
23060-23902-PMC|JGO. CONCHA BIELA TUCSON 0.20|TUCSO|00137|11.1300|9.6800|2.4300|KOREA|||
20910-37L01|JGO. EMPACADURA KIA SPORTAGE 2.7|SPTFE|00182|125.1700|108.8400|27.6100|KOREA|||
23410-37317|JGO. PISTON SPORTAGE 2.7 STD MOBIS 23410-3E011 THI N|OTROS|00004|64.4300|56.0300|15.0100|KOREA|||
82620-1C000|MANILLA INT. LH GETZ|ELGTZ|00007|8.9400|7.7700|1.8000|KOREA|||
8265022001|MANILLA TRASERA EXT. LH HYUNDAI ACCENT|ACCEN|00026|5.7200|4.9700|1.3700|KOREA|||
8266022001|MANILLA DELANTERA EXT. RH HYUNDAI ACCENT|ACCEN|00026|9.1800|7.9800|1.3800|KOREA|||
8261022001|MANILLA INT. LH HYUNDAI ACCENT (22000)|ACCEN|00007|4.0300|3.5000|0.5000|KOREA|||
8262022001|MANILLA INT. RH ACCENT|ACCEN|00007|5.9000|5.1300|0.5600|KOREA|||
8263033001|MANILLA SUBE VIDRIO HYUNDAI ACCENT|ACCEN|00026|4.4900|3.9000|0.3400|KOREA|||
24552-02200|MARTILLO ESCAPE PICANTO|PICAN|00127|12.1100|10.5300|3.9800|KOREA|||
54500-FD000-K|MESETA LH KIA RIO STYLUS|RIO|00007|56.8700|48.0000|12.5200|KOREA|||
54501-FD000-K|MESETA RH KIA RIO STYLUS|RIO|00007|56.8700|49.4500|13.6000|KOREA|||
0K72C-13100B-K|MULTIPLE ADMISION KIA PREGIO 3.0|PREGI|00172|67.4700|55.0000|12.4400|KOREA|||
24355-3C100|VALVULA OCV SORENTO 3.8 LH/ SONATA 3.3|OTROS|00159|80.5800|70.0700|13.8900|KOREA|||
24355-3C200|VALVULA OCV SORENTO 3.8 RH/ SONATA 3.3|OTROS|00159|51.7500|45.0000|9.5700|KOREA|||
581013CA70-PMC|JGO. PASTILLAS TUCSON/SPORTAGE PMC|TUCSO|00137|18.5700|16.1500|4.0500|KOREA|||
5810138A50-PMC|JGO. PASTILLAS HYUNDAI ELANTRA XD PMC|ELGTZ|00163|20.0000|17.3900|4.6600|KOREA|||
5810107A00-PMC|JGO. PASTILLAS KIA PICANTO PMC|PICAN|00235|17.2500|15.0000|4.5400|KOREA|||
0K75B3328Z-PMC|JGO. PASTILLA KIA PREGIO (0K56B3323Z)|PREGI|00163|29.3400|25.5100|5.8600|KOREA|||
58115FDA00-PMC|JGO. PASTILLAS KIA RIO STYLUS PMC|RIO|00182|20.1300|17.5000|4.8600|KOREA|||
24810-26020|POLEA TIEMPO GETZ 1.6 GMB (GT10170)|ELGTZ|00137|20.3900|17.7300|4.7600|KOREA|||
24810-26000|POLEA TIEMPO GETZ 1.6 PMC 26020|ELGTZ|00137|13.2300|11.5000|3.1100|KOREA|||
24810-2X700|POLEA TIEMPO KIA RIO 1.5 GMB (GT20060)|RIO|00001|17.8300|15.5000|4.4700|KOREA|||
24810-2X700-PMC|POLEA TIEMPO KIA RIO 1.5 PMC|RIO|00137|13.9600|12.1400|4.5000|KOREA|||
9783429010|POLEA TENSORA A/A ACCENT GRANDE|ACCEN|00001|17.9700|15.6300|4.0900|KOREA|||
978342D520|POLEA TENSORA  A/A HYUNDAI TUCSON/XD PSA-C015|TUCSO|00239|15.5300|13.5000|2.9500|KOREA|||
24810-23050-PMC|POLEA TIEMPO TUCSON PMC 23400|TUCSO|00002|15.5500|13.5200|3.3900|KOREA|||
3530123500|REGULADOR GASOLINA TUC/ELAN (23700)|TUCSO|00084|22.5500|19.6100|4.6800|KOREA|||
0K72A33075|RODAMIENTO DEL. EXT KIA PREGIO|PREGI|00163|10.9300|9.5000|2.3300|KOREA|||
5172038110-PMC|RODAMIENTO DELANTERO HYUNDAI TUCSON|TUCSO|00163|27.6000|23.0000|6.1600|KOREA|||
517200200-K|RODAMIENTO DELANTERO PIC/GETZ|PICAN|00126|26.3800|22.9400|5.7600|KOREA|||
3918022600|SENSOR POSICION CIGUENAL GETZ 1.6 OEM|ELGTZ|00194|25.2800|21.9800|7.6000|KOREA|||
3918022600-PMC|SENSOR POSICION CIGUENAL GETZ 1.6|ELGTZ|00122|16.1000|14.0000|3.9300|KOREA|||
0K30A-18891|SENSOR POSICION CIGUENAL KIA RIO MOBIS|RIO|00004|79.4900|69.1200|17.3700|KOREA|||
3918022090|SENSOR POSICION CIGUENAL ACCENT 3 PIN|ACCEN|00004|52.4100|45.5700|11.4500|KOREA|||
TAPARADIADOR|TAPA RADIADOR MALA|ESTO|00143|3.7700|3.2800|0.8700|CHINA|||
22410-22030|TAPA VALVULA  HYUNDAI ACCENT|ACCEN|00007|55.5100|48.2700|16.0900|KOREA|||
25281-2B010-PMC|TENSOR CORREA UNICA KIA CERATO 1.6 / 25281-2B030|OTROS|00186|40.8700|35.5400|13.5300|KOREA|||
35102-02910|SENSOR TPS KIA PICANTO / 3517002000|PICAN|00174|17.7600|15.4400|4.7600|KOREA|||
35170-37100|SENSOR TPS KIA SPORTAGE 2.7 / OPTIMA|SPTFE|00192|18.9800|16.5000|3.6800|KOREA|||
25461-22024-PMC|TUBO AGUA  HYUNDAI ACCENT|ACCEN|00137|25.8800|22.5000|6.2100|KOREA|||
22212-02500|VALVULA ESCAPE PICANTO|PICAN|00137|4.8300|4.2000|1.2700|KOREA|||
0K65D-12111|VALVULA ADMISION KIA PREGIO 3.0|PREGI|00137|6.2100|5.4000|1.2800|KOREA|||
0K30E-12111|VALVULA ADMISION KIA RIO 1.5|RIO|00137|2.3000|2.0000|0.8200|KOREA|||
22211-02200|VALVULA  ADMISION KIA PICANTO|PICAN|00065|3.2200|2.8000|0.7800|KOREA|||
0K30E-12121|VALVULA ESCAPE KIA RIO 1.5|RIO|00191|6.0800|4.0000|1.0600|KOREA|||
39220-22020|VALVULA TEMP HYUNDAI ACC/GETZ 2 PINES|ACCEN|00122|5.4700|4.7600|1.3600|KOREA|||
50310-3E102|RODAMIENTO DEL. SORENTO 3.8 / SPORTAGE 4X4 / TRASERO TUCSON|OTROS|00163|32.2000|28.0000|6.0700|KOREA|||
21310-37100-NPC|BOMBA ACEITE KIA SPORTAGE 2.7 NPC|SPTFE|00016|149.1000|129.6500|34.6300|KOREA|||
41421-39000-ICH|COLLARIN HYUNDAI ELANTRA ICHIBAN|ELAN|00018|27.8200|24.1900|6.4700|KOREA|||
0K72A-33-047|RODAMIENTO DEL. INT KIA PREGIO *14585/25*|PREGI|00242|15.5300|13.5000|2.5800|KOREA|||
24410-23050-ICH|TENSOR TIEMPO TUCSON GANCHO ICHIBAN|TUCSO|00018|43.5400|37.8600|13.0200|KOREA|||
24410-02510-K|TENSOR TIEMPO KIA PICANTO ICHIBAN|PICAN|00018|19.1100|16.6200|4.4400|KOREA|||
25100-37202|BOMBA AGUA KIA SPORTAGE 2.7|SPTFE|00163|62.1100|54.0100|16.5500|KOREA|||
31911-2E000-K|FILTRO GASOLINA TUCSON HIBARI|TUCSO|00019|21.5200|18.7100|5.0000|KOREA|||
170753|TAPA RADIADOR YARIS|OTROS|00021|9.0500|7.8700|2.1100|KOREA|||
27301-26600-K|BOBINA ENCENDIDO HYUNDAI GETZ 1.6|ELGTZ|00019|67.9700|59.1000|15.8000|KOREA|||
41421-39000|COLLARIN HYUNDAI ELANTRA VALEO PRB-05|ELGTZ|00163|23.0000|18.0000|4.5600|KOREA|||
KKD-20B|KIT EMBRAGUE PREGIO 3.0 ICHIBAN|PREGI|00018|189.2100|164.5300|44.0000|KOREA|||
27301-22600-K|BOBINA ENCENDIDO HYUNDAI GETZ 1.3 HIBARI|ELGTZ|00019|67.1800|58.4200|15.6200|KOREA|||
24810-23011|POLEA TIEMPO TUCSON VALEO K6124|TUCSO|00066|16.6100|14.4400|4.0700|KOREA|||
24410-22020|TENSOR TIEMPO ACCENT/GETZ ICHIBAN|ACCEN|00018|21.2900|18.5100|4.9500|KOREA|||
24810-26010|POLEA TIEMPO GETZ 1.6 ICHIBAN|GETZ|00018|18.6600|16.2300|4.3400|KOREA|||
K75A-10311-B|JGO. CAMISA KIA PREGIO 3.0 NPC|PREGI|00016|140.5200|122.1900|32.6800|KOREA|||
0S093-41-920-IC|BOMBIN CLUTCH INF. PREGIO 3.0 ICHIBAN|PREGI|00018|28.3400|24.6400|6.5900|KOREA|||
41710-39001-TCI|BOMBIN CLUTCH INF. HYUNDAI TUCSON / ELANTRA TCIC|TUCSO|00069|0.0000|0.0000|0.0000|KOREA|||
41421-39275-K|COLLARIN TUCSON/SPORTAGE / 41421-39260|TUCSO|00002|14.3300|12.4000|3.3000|KOREA|||
27301-26600-DEN|BOBINA ENCENDIDO HYUNDAI GETZ 1.6 DENSO|ELGTZ|00085|66.1300|57.5000|18.0700|KOREA|||
39310-02200-OEM|SENSOR POSICION CIGUENAL PICANTO|PICAN|00122|14.5100|12.6200|4.2300|KOREA|||
0K30A-18-891-K|SENSOR POSICION CIGUENAL KIA RIO PMC|RIO|00182|24.5300|21.3300|6.4600|KOREA|||
82660-FD010|MANILLA EXT. DEL RH RIO STYLUS|RIO|00004|32.7400|28.4700|5.6300|KOREA|||
KKY0133047|RODAMIENTO TRASERO INTERNO KIA RIO MB00233047|RIO|00182|7.8700|6.8400|2.0700|KOREA|||
24410-23050-PMC|TENSOR TIEMPO TUCSON GANCHO PMC|TUCSO|00002|28.8100|24.0000|5.1600|KOREA|||
22211-23600|VALVULA ADMISION TUCSON|TUCSO|00137|3.9900|3.4700|1.0000|KOREA|||
22212-23600|VALVULA ESCAPE HYUNDAI TUCSON|TUCSO|00137|4.0300|3.5000|1.2300|KOREA|||
39230-26600-K|VALVULA TEMPERATURA GETZ (CABLE)|ELGTZ|00147|17.8300|15.5000|3.1200|KOREA|||
KHBK-101YU19|KIT TIEMPO KIA PICANTO (C. DONGIL + T. DJENG)|PICAN|00002|33.3500|32.9000|10.2800|KOREA|||
KHBK-105RU22|KIT TIEMPO GETZ HYUNDAI 1.6/ELANTRA (GATES+GATES+GATES)|ELGTZ|00031|60.5200|53.0000|16.0600|KOREA|||
KHBK-113RU25.4|KIT TIEMPO HYUNDAI TUCSON/ELANTRA LISO (GATES+GATES+GATES)|TUCSO|00248|63.8300|60.0000|19.4200|KOREA|||
KHBK-207YU32|KIT TIEMPO KIA SPORTAGE 2.7 (GATES+GATES+GATES+GATES)|SPTFE|00031|143.6400|124.9000|35.2800|KOREA|||
KKBK-113RU25.4|KIT TIEMPO HYUNDAI TUCSON CON GANCHO (DJENG+DJENG+GATES)|TUCSO|00237|81.2100|70.6200|21.7300|KOREA|||
KKBK-137STS22|KIT TIEMPO KIA RIO 1.5 (GATES+GATES+GATES)|RIO|00031|51.7500|53.0000|16.4800|KOREA|||
58510-07000-K|BOMBA FRENO KIA PICANTO TCIC|PICAN|00069|130.2100|113.2300|26.2100|KOREA|||
82620-2D000|MANILLA INT. RH ELANTRA XD|ELGTZ|00026|11.8900|10.3400|2.0100|KOREA|||
82610-2D000|MANILLA INT. LH ELANTRA XD|ELGTZ|00007|9.1800|7.9800|2.0500|KOREA|||
39180-22060-K|SENSOR POSICION CIGUENAL HYUNDAI ACCENT 3PIN 22090 (23000)|ACCEN|00122|16.9700|14.7600|4.1000|KOREA|||
21310-02550-SEO|BOMBA ACEITE KIA PICANTO SEONG|PICAN|00062|48.3900|42.0800|12.7500|CHINA|||
25100-22032-SEO|BOMBA AGUA HYUNDAI TUCSON SEONG|TUCSO|00062|25.9800|22.5900|6.0000|CHINA|||
25100-2X200-SEO|BOMBA AGUA KIA RIO STYLUS SEONG|RIO|00062|36.3300|31.5900|8.8500|CHINA|||
25100-02566-SEO|BOMBA AGUA KIA PICANTO SEONG|PICAN|00062|25.2000|21.9100|6.3300|CHINA|||
25100-26902-SEO|BOMBA AGUA HYUNDAI GETZ 1.6 SEONG|ELGTZ|00062|25.2000|21.9100|6.3300|CHINA|||
KITTUCSTD|KIT PISTON Y ANILLO HYUNDAI TUCSON STD SEONG|TUCSO|00062|88.0800|76.5900|15.9500|CHINA|||
KITTUC020|KIT PISTON Y ANILLO HYUNDAI TUCSON 0.20 (0.50) SEONG|TUCSO|00062|91.6000|79.6500|15.9500|CHINA|||
23040-26160-075|JGO. ANILLO GETZ 1.6 0.30 (0.75) FINO|ELGTZ|00004|23.9900|20.8600|8.9500|KOREA|||
21310-22010|BOMBA ACEITE HYUNDAI ACCENT 1.3/1.5|ACCEN|00137|82.2600|71.5300|20.7500|KOREA|||
25100-21000|BOMBA AGUA HYUNDAI ACCENT 1.3/1.5|ACCEN|00143|32.7800|28.5000|11.6900|KOREA|||
KK1YO-11SHX-100|JGO. CONCHA BANCADA KIA RIO 0.40 (1.00)|RIO|00108|14.4000|12.5200|5.1300|CHINA|||
KK1YO-11SH0-025|JGO. CONCHA BANCADA KIA RIO 0.10 (0.25)|RIO|00108|12.2100|10.6200|4.5400|CHINA|||
KK1YO-11SHY-075|JGO. CONCHA BANCADA KIA RIO 0.30 (0.75)|RIO|00108|12.2100|10.6200|4.5400|CHINA|||
OK3Y0-11SFY-075|JGO. CONCHA BIELA KIA RIO 0.30 (0.75)|RIO|00108|9.4500|8.2200|3.5200|CHINA|||
KDX50-32-240|ROTULA KIA RIO STYLUS|RIO|00143|15.9300|13.8500|4.0700|KOREA|||
57755-1C000|ROTULA GETZ|ELGTZ|00002|13.7200|11.5000|2.9300|KOREA|||
26300-2Y500|FILTRO ACEITE KIA RIO KOREA (02500)|RIO|00002|4.5800|3.9800|1.1300|KOREA|||
DAC39740034/36|RODAMIENTO DELANTERO ELANTRA XD|ELGTZ|00141|17.2800|15.0300|6.6300|KOREA|||
G22048018LT|AMORTIGUADOR DEL. LH HYUNDAI GETZ|ELGTZ|00130|79.2800|68.9400|27.3200|KOREA|||
23410-23942-STD|JGO. PISTON TUCSON STD SEONG|TUCSO|00062|56.2400|48.9000|13.7000|CHINA|||
23410-23942-050|JGO. PISTON HYUNDAI TUCSON 0.20 (0.50) FINO|TUCSO|00062|71.4200|62.1000|13.0000|CHINA|||
KITPISTUCKO020|KIT PISTON Y ANILLO TUCSON 0.20(0.50) SEONG KOBIS|TUCSO|00053|105.5800|91.8100|24.3000|CHINA|||
KITPISTUCKOSTD|KIT PISTON Y ANILLO TUCSON STD SEONG KOBIS|TUCSO|00053|105.5800|91.8100|24.3000|CHINA|||
94460-22020-SEO|FLOTANTE GASOLINA HYUNDAI ACCENT SEONG|ACCEN|00062|19.1200|16.6300|3.8000|CHINA|||
0K30A-13480-K|FILTRO GASOLINA KIA RIO 1.5 KOREA|RIO|00002|7.4800|6.5000|3.0700|KOREA|||
23040-22300-050|JGO. ANILLO ACCENT 1.3 0.50|ACCEN|00108|23.4400|20.3800|8.3800|CHINA|||
23040-22300-STD|JGO. ANILLO ACCENT 1.3 STD|ACCEN|00108|23.4400|20.3800|8.3800|CHINA|||
OK3Y0-SE0-STD|JGO. CONCHA BIELA KIA RIO STD|RIO|00108|9.0500|7.8700|3.5200|CHINA|||
DAC458439/41|RODAMIENTO DELANTERO TUCSON|TUCSO|00141|22.9400|19.9500|8.9000|KOREA|||
0K30E-12111-JGO|JGO. VALVULA ADMISION KIA RIO 8PCS|RIO|00108|18.9500|16.4800|7.3500|CHINA|||
0K30E-12121-JGO|JGO. VALVULA ESCAPE KIA RIO 8 PCS|RIO|00108|18.9500|16.4800|7.3500|CHINA|||
51720-29400|RODAMIENTO DELANTERO PIC/GETZ UNION|PICAN|00126|26.3800|22.9400|5.7600|KOREA|||
25215-4Z100|FAN CLUTCH PREGIO|PREGI|00151|113.5900|98.7700|19.6400|KOREA|||
0K74R-23-603|FILTRO AIRE KIA PREGIO 3.0|PREGI|00007|15.0300|13.0700|3.2800|KOREA|||
0K60C-23-570|FILTRO GASOIL KIA PREGIO 3.0/H100|PREGI|00002|11.1200|9.6700|2.5900|KOREA|||
KIK-015|KIT DE EMBRAGUE KIA PREGIO 3.0|PREGI|00052|212.9000|185.1300|48.0400|KOREA|||
0K79A-13-341|MANGUERA PURIFICADOR KIA PREGIO 3.0|PREGI|00002|38.6200|33.0000|8.2200|KOREA|||
0K72A-34200-A|MESETA SUPERIOR KIA PREGIO 3.0|PREGI|00169|72.2200|55.0000|14.2700|KOREA|||
0K65D-12111-GMP|VALVULA ADMISION KIA PREGIO 3.0|PREGI|00005|6.6800|5.8100|1.6000|KOREA|||
0K65A-12121-GMP|VALVULA ESCAPE KIA PREGIO 3.0|PREGI|00137|6.7900|5.9000|1.6900|KOREA|||
0K75A-10100|CAMARA MOTOR KIA PREGIO 3.0|PREGI|00140|670.3700|582.9300|142.0800|KOREA|||
23040-4Z910-SEO|JGO. ANILLO KIA PREGIO 3.0 SEONG|PREGI|00062|38.3100|33.3100|11.9000|CHINA|||
0K7Z1-11SA0-SEO|JGO. PISTON KIA PREGIO 3.0 SEONG|PREGI|00062|140.8600|122.4900|48.0000|CHINA|||
0K75A-11-201C-S|KIT PASADOR PISTON PREGIO 3.0 SEONG|PREGI|00062|32.4300|28.2000|4.5000|CHINA|||
0K65A14100E-SEO|BOMBA ACEITE KIA PREGIO 3.0 SEONG|PREGI|00062|71.8300|62.0000|18.0000|CHINA|||
23510-4Z100-SEO|BRAZO BIELA KIA PREGIO 2.7 SEONG|PREGI|00062|34.0100|29.5700|11.1000|CHINA|||
0K75B-18140-SEO|JGO. BUJIA KIA PREGIO 3.0 SEONG|PREGI|00062|14.3800|12.5000|4.2000|CHINA|||
0K75A-10311B-SE|JGO. CAMISA KIA PREGIO 3.0 SEONG|PREGI|00062|109.2500|95.0000|22.0000|CHINA|||
23110-4X000-SEO|CIGUENAL KIA PREGIO 3.0 SEONG|PREGI|00062|210.0100|185.0000|74.0000|CHINA|||
0K6Z2-11SH0-SEO|JGO. CONCHA BANCADA KIA PREGIO 0.10 (0.25)SEONG|PREGI|00062|11.9800|10.4200|4.5000|CHINA|||
0K6Z2-11SG0-SEO|JGO. CONCHA BANCADA KIA PREGIO STD SEONG|PREGI|00062|11.9800|10.4200|4.5000|CHINA|||
0VNY-11SF0-SEON|JGO. CONCHA BIELA KIA PREGIO 0.10 (0.25) SEONG|PREGI|00062|6.9100|6.0100|2.5000|CHINA|||
0K6Z1-11SE0-SEO|JGO. CONCHA BIELA PREGIO STD 3.0 SEONG|PREGI|00062|6.9100|6.0100|2.5000|CHINA|||
25215-4Z020-SEO|CORREA ALTERNADOR KIA PREGIO SEONG|PREGI|00062|11.2100|9.7500|2.2000|CHINA|||
0K75A10271-SEON|EMPACADURA CAMARA KIA PREGIO 3.0 SEONG|PREGI|00062|7.9500|6.9100|1.9500|CHINA|||
25215-4Z200|FAN CLUTCH S/ASPA KIA PREGIO 3.0 SEONG|PREGI|00062|54.6000|47.4800|15.1000|CHINA|||
0K6A1-10155-SEO|JGO. GOMA VALVULA KIA PREGIO SEONG|PREGI|00062|6.5900|5.7300|1.2000|CHINA|||
0K65A-10104A-SE|JGO. GUIA VALVULA KIA PREGIO 3.0 SEONG|PREGI|00062|24.7400|21.5100|5.3000|CHINA|||
0K65D-12111-121|JGO. VALVULA  ADM Y ESC KIA PREGIO 3.0 SEONG|PREGI|00062|43.8500|38.1300|8.9500|CHINA|||.
0K72C-13100B-SE|MULTIPLE ADMISION KIA PREGIO 3.0 SEONG|PREGI|00062|77.6400|67.5100|11.0000|CHINA|||
0K72A-34200A-SE|MESETA SUPERIOR KIA PREGIO 3.0 SEONG|PREGI|00118|74.9100|64.0000|13.5000|CHINA|||
0K75A-39040-KP|BASE MOTOR RH KIA PREGIO 3.0 SEONG|PREGI|00062|16.2800|14.1600|3.5000|CHINA|||
41412-4Z000-SEO|COLLARIN KIA PREGIO 3.0 SEONG|PREGI|00062|13.5500|11.7800|2.9500|CHINA|||
KITCLUPRE-KP|KIT EMBRAGUE KIA PREGIO 3.0 KP (HDK-015)|PREGI|00118|103.7800|90.2400|26.5000|CHINA|||
0K74R-23603-SEO|FILTRO DE AIRE KIA PREGIO 3.0|PREGI|00062|12.4400|10.8200|1.8800|CHINA|||
0K60C-23570-SEO|FILTRO GASOIL KIA PREGIO 3.0 SEONG|PREGI|00062|9.0800|7.9000|1.7500|CHINA|||
0K79A-13341-SEO|MANGUERA PURIFICADOR KIA PREGIO SEONG|PREGI|00062|21.2500|18.4800|5.6000|CHINA|||
0K65B-10220-SEO|TAPA VALVULA KIA PREGIO SEONG|PREGI|00062|39.8100|34.6200|9.5000|CHINA|||
41610-1C010-CH|BOMBA CLUTCH SUP. HYUNDAI GETZ|GETZ|00108|36.0300|31.3300|10.6200|CHINA|||
S08-41-990|BOMBA CLUTCH SUP. KIA PREGIO 3.0|PREGI|00108|34.8700|30.3200|11.4200|CHINA|||
22231-37110|TAQUETE GETZ - PAQ 8 PCS|GETZ|00108|69.3300|60.2900|22.7200|CHINA|||
23410-26501-075|JGO. PISTON GETZ 1.6 0.75|GETZ|00077|76.3500|66.3900|21.8600|KOREA|||
KITPISGETZ050|KIT PISTON Y ANILLO GETZ 1.6 0.20(050)|GETZ|00050|106.6900|92.7700|29.5000|KOREA|||
KITMOTORPREGIO|KIT MOTOR PREGIO *CAMISAS,ANILLO,PISTON*|PREGI|00062|423.3700|368.1500|84.5000|CHINA|||
4PK895|CORREA ALTERNADOR TUCSON/SPORTAGE 2.0|TUCSO|00077|7.2300|6.2900|2.6100|KOREA|||
BB8060R-54500FD|MESETA KIA RIO STYLUS RH|RIO|00077|44.0600|38.3100|14.0700|KOREA|||
22212-22011|JGO. VALVULA ESCAPE ACCENT PAQT 4 PCS|ACCEN|00108|20.0800|17.4600|5.1300|CHINA|||
0K30E-10155-OEM|JGO. GOMA VALVULA KIA RIO 1.5|RIO|00108|9.0300|7.8500|3.5000|CHINA|||
