codart|nomart|grupo|marca|precio_a|precio_b|precio_d|codfam|stk01|stk06|alterno
53050-39100|ESTOPERA TRASERA DIFERENCIAL SANTA FE/TUCSON|TUCSO|00110|7.4800|6.5000|0.7800|KOREA|||
21830-D3200|BASE CAJA LH HYUNDAI TUCSON 2015 (D3100)|TUCSO|00092|84.1200|73.1500|21.6100|KOREA|||
21950-D3000|BASE MOTOR DEL. HYUNDAI TUCSON 2015|TUCSO|00002|55.9100|48.6200|13.9400|KOREA|||
54830-D3000|BIELETA DEL. LH HYUNDAI TUCSON 2015|TUCSO|00163|15.5300|13.5000|2.3700||||
23510-2E410|BRAZO BIELA HYUNDAI TUCSON 2.0 2015|TUCSO|00247|51.9500|45.1700|13.0800|KOREA|||
54584-D3000|BUJE GRANDE MESETA INF. DEL. HYUNDAI TUCSON 2015|TUCSO|00002|10.9300|9.5000|2.1500|KOREA|||
54551-C5000|BUJE PEQ. MESETA INF. DEL. HYUNDAI TUCSON 2015-202|TUCSO|00002|4.6000|6.0000|1.1500|KOREA|||
23124-2E000|DAMPER HYUNDAI TUCSON 2015|TUCSO|00127|63.6200|55.3200|12.9100|KOREA|||
51712-C1000|DISCO FRENO HYUNDAI TUCSON 2015|TUCSO|00023|97.7500|85.0000|18.4100|KOREA|||
22311-2E080|EMPACADURA CAMARA HYUNDAI TUCSON 2015|TUCSO|00182|18.0200|15.6700|3.3000|KOREA|||
22441-2E000|EMPACADURA TAPA VALVULA HYUNDAI TUCSON 2015|TUCSO|00182|10.9300|9.5000|1.5600|KOREA|||
28113-D3300|FILTRO AIRE HYUNDAI TUCSON 2015|TUCSO|00182|17.8300|15.5000|3.0500|KOREA|||
31112-C9000|FILTRO GASOLINA HYUNDAI TUCSON 2015 (C9100)|TUCSO|00002|32.7800|28.5000|7.0300|KOREA|||
35310-2E100|INYECTOR HYUNDAI TUCSON 2015|TUCSO|00127|32.8000|28.5200|7.4000|KOREA|||
58101-D7A10|JGO. PASTILLA HYUNDAI TUCSON 2015 (D3A11)|TUCSO|00163|29.2700|25.4500|7.0200|KOREA|||
25410-D3500|MANGUERA RAD. INF HYUNDAI TUCSON 2015|TUCSO|00163|41.6600|36.2300|9.6500|KOREA|||
51750-C1000|MOZO DELANTERO HYUNDAI TUCSON 2015|TUCSO|00163|97.2400|84.5600|25.6200|KOREA|||
54530-C1000|MUNON INF LH HYUNDAI TUCSON 2015|TUCSO|00163|19.3500|16.8300|4.0100|KOREA|||
54530-C1100|MUNON INF RH HYUNDAI TUCSON 2015|TUCSO|00163|19.3500|16.8300|3.9500|KOREA|||
24355-2E100|VALVULA OCV HYUNDAI TUCSON 2015 ADM|TUCSO|00159|47.3800|41.2000|10.9200|KOREA|||
24375-2E100-K|VALVULA OCV HYUNDAI TUCSON 2015 ESC|TUCSO|00159|47.3800|41.2000|11.3100|KOREA|||
25310-D3500|RADIADOR HYUNDAI TUCSON 2015|TUCSO|00162|146.1900|127.1200|36.6000|KOREA|||
