CODMOVCLI|NUMDOC|TIPO|CODVEN|EMISION|VENCE|IMPORTE|REFER|CONCEPTO
00000741|D0010390|FC|34|10/1/2024|9/2/2024|463,85||FACTURA D0010390
00000741|D0010391|FC|34|10/1/2024|9/2/2024|87,78||FACTURA D0010391
00000741|00003010|FC|34|10/1/2024|10/1/2024|1365,47||IVA CORRESPONDIENTE A LA FACTU
00000629|D0010392|FC|04|10/1/2024|9/2/2024|179,48||FACTURA D0010392
00000689|D0010393|FC|04|10/1/2024|9/2/2024|1319,15||FACTURA D0010393
00000736|D0010121|CA|04|10/1/2024|24/12/2023|-100,00||FACTURA D0010121
00000088|D0010394|FC|01|10/1/2024|9/2/2024|315,60||FACTURA D0010394
00000414|D0010395|FC|02|10/1/2024|24/2/2024|568,58||FACTURA D0010395
00000414|D0010396|FC|02|10/1/2024|24/2/2024|592,69||FACTURA D0010396
00000722|D0010397|FC|01|11/1/2024|10/2/2024|52,15||FACTURA D0010397
00000229|D0010239|CA|04|11/1/2024|5/1/2024|-300,00||FACTURA D0010239
00000060|D0010367|NC|01|11/1/2024|11/1/2024|-105,17||DEVOLUCION No. NC000555
00000662|D0010400|FC|02|11/1/2024|10/2/2024|57,46||FACTURA D0010400
00000414|D0010401|FC|02|11/1/2024|25/2/2024|72,10||FACTURA D0010401
00000035|D0009904|NC|25|11/1/2024|11/1/2024|-13,25||DEVOLUCION No. NC000556
00000320|D0009598|NC|25|11/1/2024|11/1/2024|-59,81||DEVOLUCION No. NC000557
00000549|D0010298|NC|25|11/1/2024|11/1/2024|-7,72||DEVOLUCION No. NC000558
00000430|D0010167|NC|21|11/1/2024|11/1/2024|-98,75||DEVOLUCION No. NC000559
00000403|D0010402|FC|29|11/1/2024|25/2/2024|79,50||FACTURA D0010402
00000470|D0010403|FC|02|11/1/2024|10/2/2024|240,34||FACTURA D0010403
00000561|D0010399|FC|19|11/1/2024|10/2/2024|736,08||FACTURA D0010399
00000629|D0010392|NC||11/1/2024|11/1/2024|-35,90|DCTO.P.PAG|DCTO P/PAGO AL 20.00%
00000629|D0010392|CA|04|11/1/2024|9/2/2024|-140,00||FACTURA D0010392
00000561|D0010398|FC|19|11/1/2024|10/2/2024|1037,08||FACTURA D0010398
00000060|D0010404|FC|01|11/1/2024|10/2/2024|236,39||FACTURA D0010404
00000413|D0010405|FC|02|11/1/2024|10/2/2024|520,72||FACTURA D0010405
00000132|D0010406|FC|02|11/1/2024|10/2/2024|182,61||FACTURA D0010406
00000536|D0010408|FC|19|11/1/2024|10/2/2024|749,84||FACTURA D0010408
00000328|D0010355|NC||11/1/2024|11/1/2024|-157,88|DCTO.P.PAG|DCTO P/PAGO AL 20.00%
00000328|D0010355|CA|01|11/1/2024|8/2/2024|-631,54||FACTURA D0010355
00000331|D0010409|FC|04|11/1/2024|10/2/2024|956,92||FACTURA D0010409
00000685|D0010410|FC|33|11/1/2024|10/2/2024|502,54||FACTURA D0010410
00000554|D0010243|CA|02|11/1/2024|6/1/2024|-150,00||FACTURA D0010243
00000413|D0010405|CA|02|11/1/2024|10/2/2024|-200,00||FACTURA D0010405
00000414|D0010233|AB|02|11/1/2024|5/1/2024|-372,44||CANC.MULT.REC.COB No.
00000414|D0010337|AB|02|11/1/2024|23/2/2024|-27,56||CANC.MULT.REC.COB No.
00000414|D0010337|CA|02|11/1/2024|23/2/2024|-9,09||FACTURA D0010337
00000110|D0010411|FC|34|12/1/2024|11/2/2024|576,64||FACTURA D0010411
00000354|D0010412|FC|01|12/1/2024|11/2/2024|914,81||FACTURA D0010412
00000088|D0010414|FC|01|12/1/2024|11/2/2024|223,73||FACTURA D0010414
00000354|D0010413|FC|01|12/1/2024|11/2/2024|747,87||FACTURA D0010413
00000014|D0010169|NC|21|12/1/2024|12/1/2024|-21,54||DEVOLUCION No. NC000560
00000400|D0010018|AB|02|12/1/2024|15/12/2023|-357,29||CANC.MULT.REC.COB No.
00000400|D0010019|AB|02|12/1/2024|15/12/2023|-195,72||CANC.MULT.REC.COB No.
00000704|D0010280|CA|34|12/1/2024|10/1/2024|-300,00||FACTURA D0010280
00000090|D0010415|FC|02|12/1/2024|11/2/2024|1741,08||FACTURA D0010415
00000618|D0009587|AB|02|12/1/2024|27/11/2023|-691,84||CANC.MULT.REC.COB No.
00000618|D0009584|AB|02|12/1/2024|27/11/2023|-8,16||CANC.MULT.REC.COB No.
00000357|D0009182|CA|02|12/1/2024|17/9/2023|-550,00||FACTURA D0009182
00000330|D0010251|CA|02|12/1/2024|7/1/2024|-100,00||FACTURA D0010251
00000360|D0009668|AB|01|12/1/2024|25/11/2023|-74,51||CANC.MULT.REC.COB No.
00000360|D0009700|AB|01|12/1/2024|2/12/2023|-1613,29||CANC.MULT.REC.COB No.
00000360|D0009767|AB|01|12/1/2024|2/12/2023|-312,20||CANC.MULT.REC.COB No.
00000498|D0009957|CA|19|12/1/2024|8/12/2023|-227,91||CANC.MULT.REC.COB No.
00000498|D0009958|CA|19|12/1/2024|8/12/2023|-201,54||CANC.MULT.REC.COB No.
00000492|D0010286|NC||15/1/2024|15/1/2024|-2,01|DCTO.P.PAG|DCTO P/PAGO AL 10.00%
00000492|D0010285|NC|04|15/1/2024|8/2/2024|-53,02||DESCUENTO P/P 10%
00000492|D0010285|CA|04|15/1/2024|8/2/2024|-477,19||CANC.MULT.REC.COB No.
00000492|D0010286|CA|04|15/1/2024|11/1/2024|-18,07||CANC.MULT.REC.COB No.
00000448|D0009690|CA|21|15/1/2024|15/11/2023|-200,00||FACTURA D0009690
00000727|D0010324|NC||15/1/2024|15/1/2024|-189,45|DCTO.P.PAG|DCTO P/PAGO AL 20.00%
